tracks
id;title;popularity;duration_ms;explicit;artists;id_artists;release_date
STRING;STRING;INTEGER;INTEGER;INTEGER;STRING;STRING;STRING
PRIMARY KEY UNIQUE;NOT NULL;NOT NULL;NOT NULL;NOT NULL;NOT NULL;NOT NULL;NOT NULL
730liKpFFmDr99NajbtZZZ;Test Song;32;123;0;['Dua Lipa'];['6M2wZ9GZgrQXHCFfjv46we'];2010-08-11
730liKpFMmDr99KajbtZZZ;Fire;44;1332;0;['Dua Lipa'];['6M2wZ9GZgrQXHCFfjv46we'];2010-06-13
730liipFMmDr99KajbtZZZ;Again;32;16;0;['Dua Lipa'];['6M2wZ9GZgrQXHCFfjv46we'];2010-02-22
730liKpFFmDr99NajbtZQf;Jesus Loves Me This I Know;43;282160;0;['David Baroni'];['7dc9jcxR0GgRMoNasStnmZ'];2010-08-26
26NE3ev5xnI3WfANAjsmhM;Al-Masad, Chapter 111;35;31493;0;['Mishari Rashed Alafasy'];['4l7F7EEXy93Jr0uIITY7bN'];2010-06-15
1vvI8HOyYk4bZbqj2pTUSB;Ash-Sharh, Chapter 94;36;36760;0;['Mishari Rashed Alafasy'];['4l7F7EEXy93Jr0uIITY7bN'];2010-06-15
6T02kgrNZ1ttR8FxXaFFgo;Al-Qadr, Chapter 97;36;39467;0;['Mishari Rashed Alafasy'];['4l7F7EEXy93Jr0uIITY7bN'];2010-06-15
1IfIZtqrfcT8il6zUzkqUF;SHERO;34;191747;0;['S.H.E'];['2lWShxOL8iTlI0pmtVKvEh'];2010-03-26
4y64gB5HTaaHFM9NupAbr0;Al-Ma'un, Chapter 107;36;42720;0;['Mishari Rashed Alafasy'];['4l7F7EEXy93Jr0uIITY7bN'];2010-06-15
7jTxNjSwPcPjSbK8829Vno;Surah Al-Araf;39;4995083;0;['Sheikh Mishary Rashid Alfasay'];['6nd2oiKSu9ksEAMzpXjIyi'];2010-01-01
7HTxqIPZ4DulrksCXbJQGt;Rockabye Baby;39;122019;0;['Smart Baby Lullaby'];['2hfd99WXqZKReBMrn9UVqw'];2010-06-12
0luT5w0dKjSwOWDaYoGnLN;Quraish, Chapter 106;35;33547;0;['Mishari Rashed Alafasy'];['4l7F7EEXy93Jr0uIITY7bN'];2010-06-15
43sxzoPnfAWxisASogKMgs;This Is Our God;38;288640;0;['Hillsong Worship'];['3SgHzT552wy2W8pNLaLk24'];2010-10-25
4fsFlRtHqxGnn26YuyfSh4;Al-Feel, Chapter 105;35;40840;0;['Mishari Rashed Alafasy'];['4l7F7EEXy93Jr0uIITY7bN'];2010-06-15
2hAJUpZrYW7jzGNP1Pct06;Al-Qari'a, Chapter 101;36;54280;0;['Mishari Rashed Alafasy'];['4l7F7EEXy93Jr0uIITY7bN'];2010-06-15
